src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
35.190.43.134,192.168.1.3,443,59968,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-06-22 01:51:16,2820029.9739837646,448.931398488493,6.028304719039795,4.609880079265726,1.4184246397740694,13,4,972,294,189.0,58.0,74.76923076923077,40.2628934841496,93.0,54.0,73.5,19.5,189,54,74.47058823529412,36.46128913706058,1329.4256055363321,260,80,20,2,176251.8733739853,2688300.848007202,0.0,648742.0736494891,2818763.017654419,2708187.8185272217,0.0,234896.91813786826,745863.7398918343,2771924.9725341797,2702934.980392456,21153.926849365234,923974.9908447266,1257961.8349898949,0,0,0,0,1,0,0,0,0,0,0,0.3076923076923077,74.47058823529412,1034,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.76923076923077,73.5,0,13,4,972,294
162.247.241.14,192.168.1.3,443,59972,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-06-22 01:51:16,2804599.0467071533,2542.2528786677185,5.7049152957480365,2.495900441889766,3.2090148538582706,7,9,2551,4579,1303.0,58.0,364.42857142857144,430.57033841932326,1466.0,54.0,508.77777777777777,535.3494762567673,1466,54,445.625,497.44168942198644,247448.234375,140,180,20,3,186973.2697804769,1152458.1909179688,0.0,329817.28108756087,2804015.874862671,1209158.8973999023,41195.15419006348,467335.9791437785,429294.6259758533,2760059.118270874,1152458.1909179688,0.0,345007.38978385925,399864.09932582517,0,0,0,0,1,0,0,0,0,0,0,1.2857142857142858,445.625,17,254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.42857142857144,508.77777777777777,0,7,9,2551,4579
192.168.1.3,142.250.194.2,59977,443,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,6,2025-06-22 01:51:16,2840209.0072631836,3930.6966393848584,10.914689700907434,5.281301468181017,5.633388232726418,15,16,3513,7651,1466.0,54.0,234.2,355.03186711430095,1466.0,54.0,478.1875,584.8393175426478,1466,54,360.1290322580645,502.3873163294839,252393.0156087409,300,320,20,8,94673.63357543945,2628482.1033477783,0.0,470747.4676520332,2840209.0072631836,2643794.059753418,0.0,202872.07194737025,677390.8777416442,2826053.8578033447,2680433.988571167,0.0,188403.590520223,666219.7176347328,0,0,0,0,1,0,0,0,0,0,0,1.0666666666666667,360.1290322580645,65535,1045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,823.0,4.0,5381.0,4.0,732268.1781926177,0.0,234.2,478.1875,0,15,16,3513,7651
162.247.241.14,192.168.1.3,443,59975,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-06-22 01:51:16,2575174.09324646,3139.981883634972,5.436525645670246,1.9416163020250876,3.494909343645158,5,9,1640,6446,958.0,58.0,328.0,360.0,1466.0,54.0,716.2222222222222,625.7151957343209,1466,54,577.5714285714286,576.6975828290044,332580.1020408164,100,180,20,2,198090.3148651123,1379352.09274292,0.0,404727.52771334344,2574388.027191162,1439193.0103302002,534.0576171875,643597.0067977905,562448.068817998,2525974.988937378,1379352.09274292,0.0,315746.87361717224,483920.22782504134,0,0,0,0,1,0,0,0,0,0,0,1.8,577.5714285714286,18,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5960.0,5.0,0.0,20710896.30488815,328.0,716.2222222222222,0,5,9,1640,6446
3.111.224.186,192.168.1.3,443,59971,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-06-22 01:51:16,2579357.147216797,139.56965997843716,2.3261609996406194,1.1630804998203097,1.1630804998203097,3,3,198,162,82.0,58.0,66.0,11.313708498984761,54.0,54.0,54.0,0.0,82,54,60.0,10.0,100.0,60,60,20,1,515871.4294433594,2543981.0752868652,0.0,1014145.0845856614,2579122.0664978027,2579122.0664978027,0.0,1289561.0332489014,1289561.0332489014,2579261.064529419,2543981.0752868652,35279.98924255371,1289630.5322647095,1254350.5430221558,0,0,0,0,1,0,0,0,0,0,0,1.0,60.0,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,54.0,0,3,3,198,162
192.155.100.150,192.168.1.3,9073,59240,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-06-22 01:51:16,135.89859008789062,794710.2315789474,14716.856140350877,7358.428070175439,7358.428070175439,1,1,54,54,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,54,54,54.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,54.0,80,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0,1,1,54,54
192.155.100.150,192.168.1.3,7071,52102,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-06-22 01:51:16,307745.93353271484,532.9071228249586,9.748301027285827,6.498867351523884,3.249433675761942,2,1,109,55,55.0,54.0,54.5,0.5,55.0,55.0,55.0,0.0,55,54,54.666666666666664,0.4714045207910317,0.22222222222222224,40,20,20,1,153872.96676635742,307240.0093078613,505.9242248535156,153367.0425415039,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,54.666666666666664,67,254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.5,55.0,0,2,1,109,55
192.168.1.3,129.80.246.81,51925,443,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,6,2025-06-22 01:51:16,4337524.890899658,107.89563443932902,1.3832773646067822,0.6916386823033911,0.6916386823033911,3,3,306,162,102.0,102.0,102.0,0.0,54.0,54.0,54.0,0.0,102,54,78.0,24.0,576.0,60,60,20,3,867504.9781799316,1685465.8126831055,324334.14459228516,662117.4530038876,4013125.8964538574,2009799.9572753906,2003325.9391784668,2006562.9482269287,3237.009048461914,4005541.8014526367,2009864.8071289062,1995676.9943237305,2002770.9007263184,7093.906402587891,0,0,0,0,1,0,0,0,0,0,0,1.0,78.0,510,154,0.0,0.0,0.0,0.0,1671342.8497314453,14122.962951660156,842732.9063415527,828609.9433898926,0.0,0.0,0.0,0.0,0.0,0.0,102.0,54.0,0,3,3,306,162
87.119.220.3,192.168.1.3,9073,59941,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-06-22 01:51:17,3730175.9719848633,250.39033198828136,3.753174141151969,1.8765870705759844,1.8765870705759844,7,7,440,494,66.0,55.0,62.857142857142854,4.969293465978882,110.0,54.0,70.57142857142857,16.62061665399884,110,54,66.71428571428571,12.858730060760676,165.34693877551027,140,140,20,2,286936.61322960485,1566017.8661346436,0.0,486257.03633215884,3730097.0554351807,1566344.976425171,0.0,621682.8425725301,551853.4680764831,3729946.1364746094,1566648.9601135254,137.09068298339844,621657.6894124349,551969.2328387749,0,0,0,0,1,0,0,0,0,0,0,1.0,66.71428571428571,42340,255,0.0,0.0,0.0,0.0,1154726.0284423828,411291.83769226074,783008.9330673218,371717.09537506104,0.0,0.0,0.0,0.0,0.0,0.0,62.857142857142854,70.57142857142857,0,7,7,440,494
192.168.1.3,162.247.241.14,59982,443,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,6,2025-06-22 01:51:17,1142223.834991455,5502.424137425759,14.00776232280225,7.879366306576267,6.1283960162259845,9,7,3661,2624,1466.0,54.0,406.77777777777777,523.9639041379722,1364.0,58.0,374.85714285714283,508.9191427698029,1466,54,392.8125,517.6778943935601,267990.40234375,180,140,20,4,76148.255666097,803402.1854400635,0.0,203257.09224311067,1142223.834991455,803402.1854400635,0.0,142777.97937393188,267480.9633101238,1133401.870727539,863268.8522338867,452.99530029296875,188900.3117879232,313600.46644932014,0,0,0,0,1,0,0,0,0,0,0,0.7777777777777778,392.8125,65535,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.77777777777777,374.85714285714283,0,9,7,3661,2624
