src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.1.3,192.168.1.255,56989,22222,58:1c:f8:e7:a3:e2,ff:ff:ff:ff:ff:ff,17,2025-06-14 16:53:39,120002329.82635498,23.91620232834587,0.34166003326208383,0.34166003326208383,0.0,41,0,2870,0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,70,70,70.0,0.0,0.0,328,0,8,41,3000058.2456588745,3014853.9543151855,2986753.9405822754,7349.280693027188,120002329.82635498,3014853.9543151855,2986753.9405822754,3000058.2456588745,7349.280693027188,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,70.0,0,0,28100.013732910156,2674.102783203125,14659.779412405831,7599.074672373365,3003599.8821258545,6250.858306884766,213557.5771331787,745691.8444361417,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0,41,0,2870,0
192.168.1.3,255.255.255.255,10004,10004,58:1c:f8:e7:a3:e2,ff:ff:ff:ff:ff:ff,17,2025-06-14 16:53:39,116998638.15307617,42.73554016464882,0.34188432131719054,0.34188432131719054,0.0,40,0,5000,0,125.0,125.0,125.0,0.0,0.0,0.0,0.0,0.0,125,125,125.0,0.0,0.0,320,0,8,40,2999965.080848107,3012478.828430176,2987442.970275879,6973.870682510896,116998638.15307617,3012478.828430176,2987442.970275879,2999965.080848107,6973.870682510896,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,125.0,0,0,23630.142211914062,4469.156265258789,14582.296212514242,6694.680583321155,3003400.0873565674,5714.654922485352,199216.64893627167,724054.2216116277,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0,40,0,5000,0
192.168.1.3,192.168.1.255,56994,22222,58:1c:f8:e7:a3:e2,ff:ff:ff:ff:ff:ff,17,2025-06-14 16:53:39,116997985.83984375,23.932035922677038,0.3418862274668148,0.3418862274668148,0.0,40,0,2800,0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,70,70,70.0,0.0,0.0,320,0,8,40,2999948.3548677885,3014683.0081939697,2986426.1150360107,7374.69482702956,116997985.83984375,3014683.0081939697,2986426.1150360107,2999948.3548677885,7374.69482702956,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,70.0,0,0,27303.93409729004,2444.028854370117,14855.84332392766,6647.8873588244105,3004529.9530029297,6167.65022277832,213186.53424580893,746036.8561308383,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0,40,0,2800,0
192.168.1.3,192.168.1.255,56999,3289,58:1c:f8:e7:a3:e2,ff:ff:ff:ff:ff:ff,17,2025-06-14 16:53:39,116997688.05503845,19.145677467970575,0.3418870976423317,0.3418870976423317,0.0,40,0,2240,0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,56,56,56.0,0.0,0.0,320,0,8,40,2999940.7193599604,3013669.013977051,2986284.9712371826,6457.391400831671,116997688.05503845,3013669.013977051,2986284.9712371826,2999940.7193599604,6457.391400831671,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,56.0,0,0,21620.03517150879,3086.090087890625,12437.428746904645,5864.875658305741,3004601.9554138184,5130.05256652832,211476.18293762207,746515.7140208526,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0,40,0,2240,0
37.61.212.203,192.168.1.3,7073,51412,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-06-14 16:53:40,104998520.13587952,9.295369103649744,0.17143098756731084,0.09523943753739492,0.07619155002991594,10,8,542,434,55.0,54.0,54.2,0.4,55.0,54.0,54.25,0.4330127018922193,55,54,54.22222222222222,0.41573970964154905,0.17283950617283952,200,160,20,2,6176383.537404678,15245759.010314941,108.95729064941406,7338815.362293956,104998371.12426758,15245872.020721436,173429.9659729004,11666485.680474175,6138743.176306667,104998386.14463806,15270173.072814941,14462363.004684448,14999769.449234009,336504.0901209307,0,0,0,0,1,0,0,0,0,0,0,0.8,54.22222222222222,83,255,767288.9232635498,703812.1223449707,735550.5228042603,31738.40045928955,15165758.13293457,81778.04946899414,3301806.0207366943,5935932.184252724,0.0,0.0,0.0,0.0,0.0,0.0,54.2,54.25,0,10,8,542,434
192.168.1.3,192.168.1.7,51220,8009,58:1c:f8:e7:a3:e2,68:39:43:9a:2e:bf,6,2025-06-14 16:53:40,115875277.99606323,83.02029705013378,0.6558776066330735,0.4228684569081658,0.2330091497249077,49,27,5396,4224,164.0,54.0,110.12244897959184,54.988545246152974,168.0,60.0,156.44444444444446,27.289033658682225,168,54,126.57894736842105,52.01499357672461,2705.559556786703,980,540,20,25,1545003.7066141765,4970709.085464478,144.00482177734375,2269110.9247227605,115875277.99606323,4970709.085464478,17250.06103515625,2414068.2915846505,2438971.0369338244,115812246.08421326,5094982.147216797,2920.866012573242,4454317.157085125,1601565.4561948553,0,0,0,0,1,0,0,0,0,0,0,0.5510204081632653,126.57894736842105,250,1597,24939.06021118164,2174.854278564453,10029.236475626627,8510.904868841168,4945423.126220703,6380.796432495117,717783.3489009312,1725931.1575354459,0.0,0.0,0.0,0.0,0.0,0.0,110.12244897959184,156.44444444444446,0,49,27,5396,4224
129.80.246.81,192.168.1.3,443,51286,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-06-14 16:53:40,118452844.14291382,107.00460669992493,1.33386413085508,0.7175851336878595,0.6162789971672206,85,73,4878,7797,78.0,54.0,57.38823529411765,8.356883907923997,693.0,82.0,106.8082191780822,69.47881465504264,693,54,80.22151898734177,53.61874594467887,2874.969916680017,1700,1460,20,12,754476.7142860753,1706163.8832092285,101.0894775390625,674200.713350825,118452844.14291382,2102355.0033569336,307190.1798248291,1410152.9064632598,719756.6109154348,118100944.99588013,2015316.0095214844,306965.1126861572,1640290.9027205573,624138.0849546972,0,0,0,0,1,0,0,0,0,0,0,0.8588235294117647,80.22151898734177,89,252,305416.8224334717,7421.016693115234,187747.06976754326,100569.31467754183,1406515.121459961,5108.118057250977,180402.91468302408,276704.55062911246,0.0,0.0,0.0,0.0,0.0,0.0,57.38823529411765,106.8082191780822,0,85,73,4878,7797
192.168.1.3,172.31.216.43,53768,1521,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,6,2025-06-14 16:53:40,12021692.991256714,16.470225961019292,0.24954887819726201,0.24954887819726201,0.0,3,0,198,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66,66,66.0,0.0,0.0,60,0,20,0,6010846.495628357,8015306.9496154785,4006386.0416412354,2004460.4539871216,12021692.991256714,8015306.9496154785,4006386.0416412354,6010846.495628357,2004460.4539871216,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,66.0,65535,0,0.0,0.0,0.0,0.0,4008920.907974243,4006386.0416412354,4007653.4748077393,1267.4331665039062,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,3,0,198,0
192.168.1.3,192.168.1.7,52477,8009,58:1c:f8:e7:a3:e2,68:39:43:9a:2e:bf,6,2025-06-14 16:53:40,115719474.07722473,83.13207501772906,0.6567606758157389,0.423437804144358,0.23332287167138094,49,27,5396,4224,164.0,54.0,110.12244897959184,54.988545246152974,168.0,60.0,156.44444444444446,27.289033658682225,168,54,126.57894736842105,52.01499357672461,2705.559556786703,980,540,20,25,1542926.321029663,4972657.203674316,0.0,2273018.690189282,115719474.07722473,4972657.203674316,3915.071487426758,2410822.3766088486,2445696.437047947,115672832.01217651,5043946.981430054,0.0,4448955.077391405,1600766.5577747014,0,0,0,0,1,0,0,0,0,0,0,0.5510204081632653,126.57894736842105,251,1643,17171.859741210938,7460.832595825195,13229.942321777344,3937.392706132596,4970580.816268921,5952.119827270508,718777.2478376116,1735794.501497584,0.0,0.0,0.0,0.0,0.0,0.0,110.12244897959184,156.44444444444446,0,49,27,5396,4224
192.168.1.3,192.168.1.1,57245,53,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,17,2025-06-14 16:53:47,17025.94757080078,11629.308687615527,117.46776452136896,58.73388226068448,58.73388226068448,1,1,79,119,79.0,79.0,79.0,0.0,119.0,119.0,119.0,0.0,119,79,99.0,20.0,400.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,99.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,119.0,0,1,1,79,119
192.168.1.3,192.168.1.1,51663,53,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,17,2025-06-14 16:53:47,17025.94757080078,12334.11527474374,117.46776452136896,58.73388226068448,58.73388226068448,1,1,79,131,79.0,79.0,79.0,0.0,131.0,131.0,131.0,0.0,131,79,105.0,26.0,676.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,105.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,131.0,0,1,1,79,131
37.61.212.203,192.168.1.3,9075,53690,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-06-14 16:53:47,106332979.91752625,8.12541885565639,0.15047071954919242,0.07523535977459621,0.07523535977459621,8,8,432,432,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,54,54,54.0,0.0,0.0,160,160,20,0,7088865.327835083,15230382.919311523,52.928924560546875,7578213.862284904,106332890.03372192,15230435.848236084,15168205.976486206,15190412.861960275,22961.85386573097,106332875.96702576,15230490.922927856,15168157.10067749,15190410.852432251,22971.52189172292,0,0,0,0,1,0,0,0,0,0,0,1.0,54.0,83,255,57673.93112182617,25688.886642456055,41681.40888214111,15992.522239685059,15193793.058395386,45308.11309814453,5100459.973017375,7137067.632200136,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0,8,8,432,432
148.72.132.122,192.168.1.3,9072,51536,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-06-14 16:53:48,107312150.00152588,8.051278443193196,0.14909774894802214,0.07454887447401107,0.07454887447401107,8,8,432,432,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,54,54,54.0,0.0,0.0,160,160,20,0,7154143.333435059,15356395.00617981,89.88380432128906,7647978.322476859,107311969.99549866,15356495.85723877,15305855.03578186,15330281.427928379,18947.751644552478,107312060.11772156,15356512.069702148,15305866.003036499,15330294.30253165,18947.34364198311,0,0,0,0,1,0,0,0,0,0,0,1.0,54.0,83,255,0.0,0.0,0.0,0.0,15305765.151977539,28321.98143005371,5128238.995869954,7196603.523143745,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0,8,8,432,432
