src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
129.80.246.81,192.168.1.3,443,60075,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-06-21 19:08:19,115609349.01237488,98.62524179406567,1.2888231036060152,0.6919855589830954,0.5968375446229198,80,69,4584,6818,78.0,54.0,57.3,8.264986388373547,102.0,82.0,98.81159420289855,7.321351269747878,102,54,76.52348993288591,22.13490786539737,489.9541462096304,1600,1380,20,11,781144.250083614,1681504.0111541748,76.05552673339844,668095.5155786293,113950350.04615784,2072332.8590393066,329730.9875488281,1442409.4942551625,706756.5181348149,113993101.11999512,2012548.2082366943,330131.05392456055,1676369.1341175754,595554.6070292619,0,0,0,0,1,0,0,0,0,0,0,0.8625,76.52348993288591,144,250,373558.99810791016,4023.0751037597656,134567.88659095764,96176.35420324035,1616247.8923797607,8373.97575378418,152686.0809326172,310711.7786888999,0.0,0.0,0.0,0.0,0.0,0.0,57.3,98.81159420289855,0,80,69,4584,6818
52.168.117.175,192.168.1.3,443,49838,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-06-21 19:08:19,0.0,0,0,0,0,1,0,54,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,54,54,54.0,0.0,0.0,20,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,54.0,16386,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0,1,0,54,0
192.168.1.3,192.168.1.1,64272,53,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,17,2025-06-21 19:08:19,5075333.833694458,41.9676827139767,0.3940627484880441,0.19703137424402206,0.19703137424402206,1,1,77,136,77.0,77.0,77.0,0.0,136.0,136.0,136.0,0.0,136,77,106.5,29.5,870.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,106.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,136.0,0,1,1,77,136
192.168.1.3,172.67.71.104,49839,443,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,6,2025-06-21 19:08:20,738650.0835418701,3490.1505563207143,20.307315106598416,9.476747049745926,10.830568056852488,7,8,1244,1334,459.0,54.0,177.71428571428572,157.11571194115345,703.0,58.0,166.75,206.41690216646504,703,54,171.86666666666667,185.13233705169452,34273.98222222222,140,160,20,3,52760.72025299072,328833.81843566895,0.0,99949.73043973875,738650.0835418701,536322.1168518066,502.1095275878906,123108.34725697835,193510.76675381782,572618.9613342285,328833.81843566895,0.0,81802.70876203265,122572.73669581194,0,0,0,0,1,0,0,0,0,0,0,1.1428571428571428,171.86666666666667,65535,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.71428571428572,166.75,0,7,8,1244,1334
162.247.241.14,192.168.1.3,443,49724,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-06-21 19:08:20,17819937.94441223,335.0180016688556,1.0662214458472792,0.5050522638223953,0.5611691820248838,9,10,1496,4474,552.0,58.0,166.22222222222223,202.49212757140722,1466.0,54.0,447.4,509.5608305197722,1466,54,314.2105263157895,419.2756383834246,175792.06094182824,180,200,20,2,989996.5524673462,10794180.870056152,0.0,2572400.682447713,17819713.11569214,11021947.145462036,0.0,2227464.1394615173,3586759.938115566,17819831.84814453,10794180.870056152,0.0,1979981.3164605035,3359008.3604117204,0,0,0,0,1,0,0,0,0,0,0,1.1111111111111112,314.2105263157895,19,254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.22222222222223,447.4,0,9,10,1496,4474
162.247.241.14,192.168.1.3,443,49732,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-06-21 19:08:22,16547641.99256897,759.6852775546657,1.7525155555711802,0.8460419923447077,0.9064735632264725,14,15,3057,9514,853.0,58.0,218.35714285714286,262.2347931428892,1466.0,54.0,634.2666666666667,572.7779635736307,1466,54,433.48275862068965,496.06997703603065,246085.42211652797,280,300,20,4,590987.2140203203,9523743.152618408,0.0,1848063.5989995084,16547501.08718872,9752934.217453003,0.0,1272884.699014517,2623063.543416667,16547554.969787598,9523743.152618408,102.996826171875,1181968.2121276855,2478362.1621249453,0,0,0,0,1,0,0,0,0,0,0,1.0714285714285714,433.48275862068965,19,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.35714285714286,634.2666666666667,0,14,15,3057,9514
162.247.241.14,192.168.1.3,443,49726,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-06-21 19:08:23,15554949.045181274,1162.138168855013,2.3786641725748456,1.092899754966821,1.2857644176080247,17,20,3245,14832,879.0,58.0,190.88235294117646,250.22716322972028,1466.0,54.0,741.6,598.8771493386603,1466,54,488.56756756756755,545.8565567708782,297959.380569759,340,400,20,4,432081.9179217021,8532511.949539185,0.0,1468479.699949301,15554409.02709961,8760839.223861694,0.0,972150.5641937256,2149717.755713661,15554865.837097168,8532511.949539185,0.0,818677.1493209036,1943079.4556431836,0,0,0,0,1,0,0,0,0,0,0,1.1764705882352942,488.56756756756755,19,254,0.0,0.0,0.0,0.0,8532511.949539185,1832790.1363372803,5182651.042938232,3349860.906600952,0.0,0.0,7071.0,6.0,0.0,30959.523887268544,190.88235294117646,741.6,0,17,20,3245,14832
162.247.241.14,192.168.1.3,443,49734,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-06-21 19:08:23,15548038.005828857,426.420362332177,1.1577023411733312,0.5145343738548138,0.6431679673185173,8,10,1438,5192,552.0,58.0,179.75,210.90622916357876,1466.0,54.0,519.2,567.6861456826298,1466,54,368.3333333333333,476.71584827861557,227258.00000000003,160,200,20,2,914590.4709311093,8526156.187057495,0.0,2155295.9411776774,15547719.955444336,8754150.15220642,0.0,2221102.8507777625,3010430.7820285764,15547924.041748047,8526156.187057495,0.0,1727547.1157497829,2716112.6956282663,0,0,0,0,1,0,0,0,0,0,0,1.25,368.3333333333333,19,254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.75,519.2,0,8,10,1438,5192
162.247.241.14,192.168.1.3,443,49736,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-06-21 19:08:23,15447861.909866333,1027.9092402980573,2.2009518338770673,0.9710081620045885,1.2299436718724788,15,19,3102,12777,852.0,58.0,206.8,256.7601215142258,1466.0,54.0,672.4736842105264,608.3204114541036,1466,54,467.02941176470586,537.9054413564064,289342.2638408304,300,380,20,4,468117.02757170703,6079337.83531189,0.0,1259820.9327188835,15447431.087493896,6095072.984695435,0.0,1103387.9348209926,1785168.7060021446,15447755.813598633,6079337.83531189,0.0,858208.6563110352,1607247.1064612446,0,0,0,0,1,0,0,0,0,0,0,1.2666666666666666,467.02941176470586,19,252,0.0,0.0,0.0,0.0,6079337.83531189,1919316.053390503,3999326.9443511963,2080010.8909606934,0.0,0.0,5322.0,5.0,0.0,57979443.86493506,206.8,672.4736842105264,0,15,19,3102,12777
192.168.1.3,142.250.194.162,49820,443,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,6,2025-06-21 19:08:24,13848573.923110962,20.435317135991898,0.36104800593625264,0.21662880356175157,0.14441920237450107,3,2,163,120,55.0,54.0,54.333333333333336,0.4714045207910317,66.0,54.0,60.0,6.0,66,54,56.6,4.715930449020639,22.24,60,40,20,1,3462143.4807777405,13787532.091140747,771.9993591308594,5961393.355768495,13848573.923110962,13798497.915267944,50076.00784301758,6924286.961555481,6874210.953712463,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,56.6,255,1040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.333333333333336,60.0,0,3,2,163,120
